model,reduction,step,seed,domain,score_pct,status,responses,question_clusters,samples_per_question,binomial_se_pct,quartile_offset_pct
M-I64-DT,DT,50,42,IF,17.0,measured,300,300,1,2.1687169786150826,1.3333333333333333
M-I64-DT,DT,50,43,IF,15.666666666666668,estimated_q25_or_q75,300,300,1,2.1687169786150826,1.3333333333333333
M-I64-DT,DT,50,44,IF,18.333333333333332,estimated_q75_or_q25,300,300,1,2.1687169786150826,1.3333333333333333
M-I64-DT,DT,50,42,GPQA,32.323232323232325,measured,792,198,4,1.6619371852461866,1.1363636363636365
M-I64-DT,DT,50,43,GPQA,33.45959595959596,estimated_q25_or_q75,792,198,4,1.6619371852461866,1.1363636363636365
M-I64-DT,DT,50,44,GPQA,31.186868686868685,estimated_q75_or_q25,792,198,4,1.6619371852461866,1.1363636363636365
M-I64-DT,DT,100,42,Math,74.8,measured,500,500,1,1.9416281827373643,1.4
M-I64-DT,DT,100,43,Math,76.2,estimated_q25_or_q75,500,500,1,1.9416281827373643,1.4
M-I64-DT,DT,100,44,Math,73.4,estimated_q75_or_q25,500,500,1,1.9416281827373643,1.4
M-I64-DT,DT,100,42,Code,19.53125,measured,128,128,1,3.504077171486163,2.34375
M-I64-DT,DT,100,43,Code,21.875,estimated_q25_or_q75,128,128,1,3.504077171486163,2.34375
M-I64-DT,DT,100,44,Code,17.1875,estimated_q75_or_q25,128,128,1,3.504077171486163,2.34375
M-I64-DT,DT,100,42,IF,19.333333333333332,measured,300,300,1,2.2800259907550435,1.6666666666666667
M-I64-DT,DT,100,43,IF,17.666666666666668,estimated_q25_or_q75,300,300,1,2.2800259907550435,1.6666666666666667
M-I64-DT,DT,100,44,IF,21.0,estimated_q75_or_q25,300,300,1,2.2800259907550435,1.6666666666666667
M-I64-DT,DT,100,42,GPQA,33.33333333333333,measured,792,198,4,1.6750630254320202,1.1363636363636365
M-I64-DT,DT,100,43,GPQA,34.46969696969697,estimated_q25_or_q75,792,198,4,1.6750630254320202,1.1363636363636365
M-I64-DT,DT,100,44,GPQA,32.196969696969695,estimated_q75_or_q25,792,198,4,1.6750630254320202,1.1363636363636365
M-I64-DT,DT,250,42,Math,75.4,measured,500,500,1,1.9260529587734603,1.2
M-I64-DT,DT,250,43,Math,76.6,estimated_q25_or_q75,500,500,1,1.9260529587734603,1.2
M-I64-DT,DT,250,44,Math,74.2,estimated_q75_or_q25,500,500,1,1.9260529587734603,1.2
M-I64-DT,DT,250,42,Code,21.09375,measured,128,128,1,3.6060157104759285,2.34375
M-I64-DT,DT,250,43,Code,23.4375,estimated_q25_or_q75,128,128,1,3.6060157104759285,2.34375
M-I64-DT,DT,250,44,Code,18.75,estimated_q75_or_q25,128,128,1,3.6060157104759285,2.34375
M-I64-DT,DT,250,42,IF,25.333333333333336,measured,300,300,1,2.5110127807689837,1.6666666666666667
M-I64-DT,DT,250,43,IF,23.666666666666668,estimated_q25_or_q75,300,300,1,2.5110127807689837,1.6666666666666667
M-I64-DT,DT,250,44,IF,27.0,estimated_q75_or_q25,300,300,1,2.5110127807689837,1.6666666666666667
M-I64-DT,DT,250,42,GPQA,32.70202020202021,measured,792,198,4,1.6669620552284832,1.1363636363636365
M-I64-DT,DT,250,43,GPQA,33.83838383838384,estimated_q25_or_q75,792,198,4,1.6669620552284832,1.1363636363636365
M-I64-DT,DT,250,44,GPQA,31.565656565656564,estimated_q75_or_q25,792,198,4,1.6669620552284832,1.1363636363636365
M-I64-DT,DT,500,42,Math,74.0,measured,500,500,1,1.9616319736382768,1.4
M-I64-DT,DT,500,43,Math,75.4,estimated_q25_or_q75,500,500,1,1.9616319736382768,1.4
M-I64-DT,DT,500,44,Math,72.6,estimated_q75_or_q25,500,500,1,1.9616319736382768,1.4
M-I64-DT,DT,500,42,Code,17.96875,measured,128,128,1,3.3934668659949327,2.34375
M-I64-DT,DT,500,43,Code,20.3125,estimated_q25_or_q75,128,128,1,3.3934668659949327,2.34375
M-I64-DT,DT,500,44,Code,15.625,estimated_q75_or_q25,128,128,1,3.3934668659949327,2.34375
M-I64-DT,DT,500,42,IF,28.666666666666668,measured,300,300,1,2.610803764417444,1.6666666666666667
M-I64-DT,DT,500,43,IF,27.0,estimated_q25_or_q75,300,300,1,2.610803764417444,1.6666666666666667
M-I64-DT,DT,500,44,IF,30.333333333333336,estimated_q75_or_q25,300,300,1,2.610803764417444,1.6666666666666667
M-I64-DT,DT,500,42,GPQA,34.217171717171716,measured,792,198,4,1.6858375954479428,1.1363636363636365
M-I64-DT,DT,500,43,GPQA,35.35353535353536,estimated_q25_or_q75,792,198,4,1.6858375954479428,1.1363636363636365
M-I64-DT,DT,500,44,GPQA,33.08080808080808,estimated_q75_or_q25,792,198,4,1.6858375954479428,1.1363636363636365
M-I64-GT,GT,50,42,Math,74.2,measured,500,500,1,1.9567115270269146,1.4
M-I64-GT,GT,50,43,Math,75.6,estimated_q25_or_q75,500,500,1,1.9567115270269146,1.4
M-I64-GT,GT,50,44,Math,72.8,estimated_q75_or_q25,500,500,1,1.9567115270269146,1.4
M-I64-GT,GT,50,42,Code,17.96875,measured,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,50,43,Code,20.3125,estimated_q25_or_q75,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,50,44,Code,15.625,estimated_q75_or_q25,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,50,42,IF,17.0,measured,300,300,1,2.1687169786150826,1.3333333333333333
M-I64-GT,GT,50,43,IF,15.666666666666668,estimated_q25_or_q75,300,300,1,2.1687169786150826,1.3333333333333333
M-I64-GT,GT,50,44,IF,18.333333333333332,estimated_q75_or_q25,300,300,1,2.1687169786150826,1.3333333333333333
M-I64-GT,GT,50,42,GPQA,32.95454545454545,measured,792,198,4,1.670243313543848,1.1363636363636365
M-I64-GT,GT,50,43,GPQA,34.090909090909086,estimated_q25_or_q75,792,198,4,1.670243313543848,1.1363636363636365
M-I64-GT,GT,50,44,GPQA,31.818181818181817,estimated_q75_or_q25,792,198,4,1.670243313543848,1.1363636363636365
M-I64-GT,GT,100,42,Math,74.4,measured,500,500,1,1.9517376872930439,1.4
M-I64-GT,GT,100,43,Math,75.8,estimated_q25_or_q75,500,500,1,1.9517376872930439,1.4
M-I64-GT,GT,100,44,Math,73.0,estimated_q75_or_q25,500,500,1,1.9517376872930439,1.4
M-I64-GT,GT,100,42,Code,17.96875,measured,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,100,43,Code,20.3125,estimated_q25_or_q75,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,100,44,Code,15.625,estimated_q75_or_q25,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,100,42,IF,21.0,measured,300,300,1,2.351595203260969,1.6666666666666667
M-I64-GT,GT,100,43,IF,19.333333333333332,estimated_q25_or_q75,300,300,1,2.351595203260969,1.6666666666666667
M-I64-GT,GT,100,44,IF,22.666666666666664,estimated_q75_or_q25,300,300,1,2.351595203260969,1.6666666666666667
M-I64-GT,GT,100,42,GPQA,32.07070707070707,measured,792,198,4,1.6585181315701611,1.1363636363636365
M-I64-GT,GT,100,43,GPQA,33.207070707070706,estimated_q25_or_q75,792,198,4,1.6585181315701611,1.1363636363636365
M-I64-GT,GT,100,44,GPQA,30.934343434343436,estimated_q75_or_q25,792,198,4,1.6585181315701611,1.1363636363636365
M-I64-GT,GT,250,42,Math,74.4,measured,500,500,1,1.9517376872930439,1.4
M-I64-GT,GT,250,43,Math,75.8,estimated_q25_or_q75,500,500,1,1.9517376872930439,1.4
M-I64-GT,GT,250,44,Math,73.0,estimated_q75_or_q25,500,500,1,1.9517376872930439,1.4
M-I64-GT,GT,250,42,Code,18.75,measured,128,128,1,3.4499065884093154,2.34375
M-I64-GT,GT,250,43,Code,21.09375,estimated_q25_or_q75,128,128,1,3.4499065884093154,2.34375
M-I64-GT,GT,250,44,Code,16.40625,estimated_q75_or_q25,128,128,1,3.4499065884093154,2.34375
M-I64-GT,GT,250,42,IF,25.0,measured,300,300,1,2.5,1.6666666666666667
M-I64-GT,GT,250,43,IF,23.333333333333332,estimated_q25_or_q75,300,300,1,2.5,1.6666666666666667
M-I64-GT,GT,250,44,IF,26.666666666666668,estimated_q75_or_q25,300,300,1,2.5,1.6666666666666667
M-I64-GT,GT,250,42,GPQA,33.33333333333333,measured,792,198,4,1.6750630254320202,1.1363636363636365
M-I64-GT,GT,250,43,GPQA,34.46969696969697,estimated_q25_or_q75,792,198,4,1.6750630254320202,1.1363636363636365
M-I64-GT,GT,250,44,GPQA,32.196969696969695,estimated_q75_or_q25,792,198,4,1.6750630254320202,1.1363636363636365
M-I64-GT,GT,500,42,Math,74.2,measured,500,500,1,1.9567115270269146,1.4
M-I64-GT,GT,500,43,Math,75.6,estimated_q25_or_q75,500,500,1,1.9567115270269146,1.4
M-I64-GT,GT,500,44,Math,72.8,estimated_q75_or_q25,500,500,1,1.9567115270269146,1.4
M-I64-GT,GT,500,42,Code,17.96875,measured,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,500,43,Code,20.3125,estimated_q25_or_q75,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,500,44,Code,15.625,estimated_q75_or_q25,128,128,1,3.3934668659949327,2.34375
M-I64-GT,GT,500,42,IF,28.666666666666668,measured,300,300,1,2.610803764417444,1.6666666666666667
M-I64-GT,GT,500,43,IF,27.0,estimated_q25_or_q75,300,300,1,2.610803764417444,1.6666666666666667
M-I64-GT,GT,500,44,IF,30.333333333333336,estimated_q75_or_q25,300,300,1,2.610803764417444,1.6666666666666667
M-I64-GT,GT,500,42,GPQA,33.71212121212121,measured,792,198,4,1.6797610627763118,1.1363636363636365
M-I64-GT,GT,500,43,GPQA,34.84848484848485,estimated_q25_or_q75,792,198,4,1.6797610627763118,1.1363636363636365
M-I64-GT,GT,500,44,GPQA,32.57575757575758,estimated_q75_or_q25,792,198,4,1.6797610627763118,1.1363636363636365
