family,subject,attempt,step,dataset,domain,score,recomputed_score,truncation_rate,response_length,completed_at_utc,verified,checks,metric,source,reward_evidence,prompts,samples_per_prompt,selected,training_phase,domain_training_prompts,generated_tokens
m-itk64-dt-s42,m-itk64-dt-s42-step100-math_if,intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-math_if__capability_eval__step_100,100,math500_pass1,math,0.636,0.636,0.06,2574.32,2026-09-08T11:02:07.357566+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-math_if__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-math_if__capability_eval__step_100/math500_pass1_rewards.json,500,1,True,student_topk,1600,5987129
m-itk64-gt-s42,m-itk64-gt-s42-step100-code_science-retry1,intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-code_science-retry1__capability_eval__step_100,100,gpqa_diamond_avg4,science,0.19823232323232323,0.19823232323232323,0.007575757575757576,1222.4179292929293,2026-09-08T04:27:57.123363+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-code_science-retry1__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-code_science-retry1__capability_eval__step_100/gpqa_diamond_avg4_rewards.json,198,4,True,student_topk,1600,6106388
m-itk64-gt-s42,m-itk64-gt-s42-step100-code_science-retry1,intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-code_science-retry1__capability_eval__step_100,100,livecodebench_postcutoff_pass1,code,0.03125,0.03125,0.28125,9526.875,2026-09-08T04:27:57.123363+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-code_science-retry1__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-code_science-retry1__capability_eval__step_100/livecodebench_postcutoff_pass1_rewards.json,128,1,True,student_topk,1600,6106388
m-itk64-gt-s42,m-itk64-gt-s42-step100-math_if,intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-math_if__capability_eval__step_100,100,ifbench_strict,if,0.19333333333333333,0.19333333333333333,0.7166666666666667,23507.266666666666,2026-09-08T11:26:53.948029+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-math_if__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-math_if__capability_eval__step_100/ifbench_strict_rewards.json,300,1,True,student_topk,1600,6106388
m-itk64-gt-s42,m-itk64-gt-s42-step100-math_if,intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-math_if__capability_eval__step_100,100,math500_pass1,math,0.65,0.65,0.072,3012.522,2026-09-08T11:26:53.948029+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-math_if__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-gt-s42-step100-math_if__capability_eval__step_100/math500_pass1_rewards.json,500,1,True,student_topk,1600,6106388
s-itk64-s42,s-itk64-s42-step100-code_science-retry1,intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-code_science-retry1__capability_eval__step_100,100,gpqa_diamond_avg4,science,0.18686868686868688,0.18686868686868688,0.015151515151515152,1726.8775252525252,2026-09-08T06:18:03.019182+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-code_science-retry1__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-code_science-retry1__capability_eval__step_100/gpqa_diamond_avg4_rewards.json,198,4,True,student_topk,0,6564124
s-itk64-s42,s-itk64-s42-step100-code_science-retry1,intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-code_science-retry1__capability_eval__step_100,100,livecodebench_postcutoff_pass1,code,0.0,0.0,0.4375,19529.4453125,2026-09-08T06:18:03.019182+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-code_science-retry1__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-code_science-retry1__capability_eval__step_100/livecodebench_postcutoff_pass1_rewards.json,128,1,True,student_topk,0,6564124
s-itk64-s42,s-itk64-s42-step100-math_if-retry1,intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-math_if-retry1__capability_eval__step_100,100,ifbench_strict,if,0.19,0.19,0.7833333333333333,25656.796666666665,2026-09-08T14:45:31.013590+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-math_if-retry1__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-math_if-retry1__capability_eval__step_100/ifbench_strict_rewards.json,300,1,True,student_topk,0,6564124
s-itk64-s42,s-itk64-s42-step100-math_if-retry1,intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-math_if-retry1__capability_eval__step_100,100,math500_pass1,math,0.442,0.442,0.212,7272.434,2026-09-08T14:45:31.013590+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-math_if-retry1__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__s-itk64-s42-step100-math_if-retry1__capability_eval__step_100/math500_pass1_rewards.json,500,1,True,student_topk,6400,6564124
m-pg-s42,m-pg-s42-step500-code,mpg500_code_20260907_cuda1__m-pg-s42-step500-code__capability_eval__step_500,500,livecodebench_postcutoff_pass1,code,0.1328125,0.1328125,0.4375,14274.28125,2026-09-07T05:09:23.539997+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/mpg500_code_20260907_cuda1__m-pg-s42-step500-code__capability_eval__step_500/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/mpg500_code_20260907_cuda1__m-pg-s42-step500-code__capability_eval__step_500/livecodebench_postcutoff_pass1_rewards.json,128,1,True,sampled_reverse_kl,8000,45121365
m-pg-s42,m-pg-s42-step500-gpqa-r3,mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-gpqa-r3__capability_eval__step_500,500,gpqa_diamond_avg4,science,0.24873737373737373,0.24873737373737373,0.16161616161616163,8716.835858585859,2026-09-07T10:23:56.205332+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-gpqa-r3__capability_eval__step_500/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-gpqa-r3__capability_eval__step_500/gpqa_diamond_avg4_rewards.json,198,4,True,sampled_reverse_kl,8000,45121365
m-pg-s42,m-pg-s42-step500-if-r4,mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-if-r4__capability_eval__step_500,500,ifbench_strict,if,0.14666666666666667,0.14666666666666667,0.7433333333333333,24439.84,2026-09-07T12:03:05.483777+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-if-r4__capability_eval__step_500/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-if-r4__capability_eval__step_500/ifbench_strict_rewards.json,300,1,True,sampled_reverse_kl,8000,45121365
m-pg-s42,m-pg-s42-step500-math-r3,mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-math-r3__capability_eval__step_500,500,math500_pass1,math,0.664,0.664,0.172,6282.294,2026-09-07T07:08:13.424404+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-math-r3__capability_eval__step_500/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/mpg500_noncode_20260907_sn4622122392__m-pg-s42-step500-math-r3__capability_eval__step_500/math500_pass1_rewards.json,500,1,True,sampled_reverse_kl,8000,45121365
m-itk64-dr-s42,m-itk64-dr-s42-step250-code_science,overlap250_capability_20260908_parallel__m-itk64-dr-s42-step250-code_science__capability_eval__step_250,250,gpqa_diamond_avg4,science,0.16792929292929293,0.16792929292929293,0.01893939393939394,2121.010101010101,2026-09-08T18:39:40.671010+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dr-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dr-s42-step250-code_science__capability_eval__step_250/gpqa_diamond_avg4_rewards.json,198,4,True,mixed_student_topk_then_intersection,4000,19929007
m-itk64-dr-s42,m-itk64-dr-s42-step250-code_science,overlap250_capability_20260908_parallel__m-itk64-dr-s42-step250-code_science__capability_eval__step_250,250,livecodebench_postcutoff_pass1,code,0.0625,0.0625,0.2890625,9709.1796875,2026-09-08T18:39:40.671010+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dr-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dr-s42-step250-code_science__capability_eval__step_250/livecodebench_postcutoff_pass1_rewards.json,128,1,True,mixed_student_topk_then_intersection,4000,19929007
m-itk64-dt-s42,m-itk64-dt-s42-step250-code_science,overlap250_capability_20260908_parallel__m-itk64-dt-s42-step250-code_science__capability_eval__step_250,250,gpqa_diamond_avg4,science,0.19696969696969696,0.19696969696969696,0.06439393939393939,4348.159090909091,2026-09-08T21:56:52.749875+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dt-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dt-s42-step250-code_science__capability_eval__step_250/gpqa_diamond_avg4_rewards.json,198,4,True,mixed_student_topk_then_intersection,4000,21399218
m-itk64-dt-s42,m-itk64-dt-s42-step250-code_science,overlap250_capability_20260908_parallel__m-itk64-dt-s42-step250-code_science__capability_eval__step_250,250,livecodebench_postcutoff_pass1,code,0.109375,0.109375,0.65625,21231.203125,2026-09-08T21:56:52.749875+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dt-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-dt-s42-step250-code_science__capability_eval__step_250/livecodebench_postcutoff_pass1_rewards.json,128,1,True,mixed_student_topk_then_intersection,4000,21399218
m-itk64-gt-s42,m-itk64-gt-s42-step250-code_science,overlap250_capability_20260908_parallel__m-itk64-gt-s42-step250-code_science__capability_eval__step_250,250,gpqa_diamond_avg4,science,0.2032828282828283,0.2032828282828283,0.06060606060606061,4082.3573232323233,2026-09-08T21:28:47.262011+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-gt-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-gt-s42-step250-code_science__capability_eval__step_250/gpqa_diamond_avg4_rewards.json,198,4,True,mixed_student_topk_then_intersection,4000,21903697
m-itk64-gt-s42,m-itk64-gt-s42-step250-code_science,overlap250_capability_20260908_parallel__m-itk64-gt-s42-step250-code_science__capability_eval__step_250,250,livecodebench_postcutoff_pass1,code,0.078125,0.078125,0.59375,19221.421875,2026-09-08T21:28:47.262011+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-gt-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/overlap250_capability_20260908_parallel__m-itk64-gt-s42-step250-code_science__capability_eval__step_250/livecodebench_postcutoff_pass1_rewards.json,128,1,True,mixed_student_topk_then_intersection,4000,21903697
m-pg-s42,m-pg-s42-step100-code_science,pg100_capability_20260907_cuda4__m-pg-s42-step100-code_science__capability_eval__step_100,100,gpqa_diamond_avg4,science,0.23232323232323232,0.23232323232323232,0.005050505050505051,1091.229797979798,2026-09-07T05:23:42.528195+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/pg100_capability_20260907_cuda4__m-pg-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_capability_20260907_cuda4__m-pg-s42-step100-code_science__capability_eval__step_100/gpqa_diamond_avg4_rewards.json,198,4,True,sampled_reverse_kl,1600,6146000
