subject,family,step,dataset,score,responses,prompts,correct_responses,truncation_rate,completed_at_utc,source,checks,verified
m-pg-s42-step100-math,M-PG,100,math500_pass1,0.554,500,500,277,0.064,2026-09-07T23:25:59.001929+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg100_math_if_20260907_cuda1_3/m-pg-s42-step100-math/capability_eval/step_100/artifacts/math500_pass1/updates_00000100_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step250-code_science,M-PG,250,gpqa_diamond_avg4,0.2474747474747475,792,198,196.0,0.003787878787878788,2026-09-07T02:53:27.596071+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/m-pg-s42-step250-code_science/capability_eval/step_250/artifacts/gpqa_diamond_avg4/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step250-code_science,M-PG,250,livecodebench_postcutoff_pass1,0.1875,128,128,24.0,0.0625,2026-09-07T02:53:27.596071+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/m-pg-s42-step250-code_science/capability_eval/step_250/artifacts/livecodebench_postcutoff_pass1/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step250-math_if,M-PG,250,ifbench_strict,0.11666666666666667,300,300,35.0,0.29333333333333333,2026-09-07T06:14:09.193312+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/m-pg-s42-step250-math_if/capability_eval/step_250/artifacts/ifbench_strict/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step250-math_if,M-PG,250,math500_pass1,0.662,500,500,331,0.07,2026-09-07T06:14:09.193312+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/m-pg-s42-step250-math_if/capability_eval/step_250/artifacts/math500_pass1/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
s-pg-s42-step250-code_science,S-PG,250,gpqa_diamond_avg4,0.2058080808080808,792,198,163.0,0.005050505050505051,2026-09-07T04:05:29.169721+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/s-pg-s42-step250-code_science/capability_eval/step_250/artifacts/gpqa_diamond_avg4/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
s-pg-s42-step250-code_science,S-PG,250,livecodebench_postcutoff_pass1,0.2109375,128,128,27.0,0.0859375,2026-09-07T04:05:29.169721+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/s-pg-s42-step250-code_science/capability_eval/step_250/artifacts/livecodebench_postcutoff_pass1/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
s-pg-s42-step250-math_if,S-PG,250,ifbench_strict,0.12333333333333334,300,300,37.0,0.26666666666666666,2026-09-07T07:26:08.492344+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/s-pg-s42-step250-math_if/capability_eval/step_250/artifacts/ifbench_strict/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
s-pg-s42-step250-math_if,S-PG,250,math500_pass1,0.662,500,500,331,0.154,2026-09-07T07:26:08.492344+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg250_capability_20260907/s-pg-s42-step250-math_if/capability_eval/step_250/artifacts/math500_pass1/updates_00000250_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
s-pg-s42-step100-code_science,S-PG,100,gpqa_diamond_avg4,0.24242424242424243,792,198,192.0,0.0,2026-09-08T00:25:50.059262+00:00,slime_opd_geometry/outputs/mopd_qwen3/spg100_capability_20260907_sn4622122392/s-pg-s42-step100-code_science/capability_eval/step_100/artifacts/gpqa_diamond_avg4/updates_00000100_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
s-pg-s42-step100-code_science,S-PG,100,livecodebench_postcutoff_pass1,0.1171875,128,128,15.0,0.1875,2026-09-08T00:25:50.059262+00:00,slime_opd_geometry/outputs/mopd_qwen3/spg100_capability_20260907_sn4622122392/s-pg-s42-step100-code_science/capability_eval/step_100/artifacts/livecodebench_postcutoff_pass1/updates_00000100_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
